title,date,link,weekendRevenue,weekendScreens,firstRevenue,firstScreens,multipleTables
Times and Winds,1/11/2008,/movies/?id=timesandwinds.htm,"$1,600",1,-3,-4,False
Running with Arnold,1/11/2008,/movies/?id=runningwitharnold.htm,"$2,500",2,-3,-4,False
Loosies,1/11/2012,/movies/?id=loosies.htm,$900,1,-3,-4,True
A Haunted House,1/11/2013,/movies/?id=hauntedhouse.htm,"$19,629,200","2,160","$7,365,300","2,160",False
Gangster Squad,1/11/2013,/movies/?id=gangstersquad.htm,"$18,510,800","3,103","$7,281,500","3,103",False
Struck By Lightning,1/11/2013,/movies/?id=struckbylightning.htm,"$14,000",1,-3,-4,False
Quartet,1/11/2013,/movies/?id=quartet.htm,"$51,100",2,"$12,800",2,False
Let My People Go!,1/11/2013,/movies/?id=letmypeoplego.htm,"$2,400",1,-3,-4,False
Matru Ki Bijlee Ka Mandola,1/11/2013,/movies/?id=matrukibijleekamandola.htm,-1,-2,-3,-4,False
Stomp the Yard,1/12/2007,/movies/?id=stomptheyard.htm,"$27,323,400","2,051","$9,023,800","2,051",True
Verdict on Auschwitz,1/12/2007,/movies/?id=verdictonauschwitz.htm,"$3,400",1,-3,-4,True
Primeval,1/12/2007,/movies/?id=primeval.htm,"$7,569,200","2,444","$2,791,300","2,444",True
Alpha Dog,1/12/2007,/movies/?id=alphadog.htm,"$8,025,300","1,289","$2,927,800","1,289",True
Tears of the Black Tiger,1/12/2007,/movies/?id=tearsoftheblacktiger.htm,"$10,000",1,-3,-4,True
Guru,1/12/2007,/movies/?id=guru07.htm,"$951,100",71,-3,-4,True
God Grew Tired of Us,1/12/2007,/movies/?id=godgrewtiredofus.htm,"$27,400",2,-3,-4,True
Sherlock Gnomes,1/12/2018,/movies/?id=sherlockgnomes.htm,-1,-2,-3,-4,False
Bad Boys for Life,1/12/2018,/movies/?id=badboys3.htm,-1,-2,-3,-4,False
Maze Runner: The Death Cure,1/12/2018,/movies/?id=mazerunner3.htm,-1,-2,-3,-4,False
Nostalgia for the Light,1/13/2011,/movies/?id=nostalgiaforthelight.htm,"$6,200",1,$500,1,True
Santa Mesa,1/13/2012,/movies/?id=santamesa.htm,"$4,200",3,-3,-4,False
Beauty and the Beast (3D),1/13/2012,/movies/?id=beautyandthebeast3d.htm,"$19,298,500","2,625","$6,097,500","2,625",True
Joyful Noise,1/13/2012,/movies/?id=joyfulnoise.htm,"$12,203,100","2,735","$3,585,600","2,735",True
Sing Your Song,1/13/2012,/movies/?id=singyoursong.htm,"$14,600",2,-3,-4,False
Man on a Mission,1/13/2012,/movies/?id=manonamission.htm,"$3,700",4,-3,-4,True
Sophomore,1/13/2012,/movies/?id=sophomore.htm,"$14,200",1,-3,-4,False
"The Devil, Probably (2012 re-release)",1/13/2012,/movies/?id=devilprobably2012.htm,"$1,800",1,-3,-4,True
"Lula, Son of Brazil",1/13/2012,/movies/?id=lula.htm,-1,-2,-3,-4,False
Vettai,1/13/2012,/movies/?id=vettai.htm,"$95,600",34,"$23,800",34,True
Albatross,1/13/2012,/movies/?id=albatross.htm,-1,-2,-3,-4,False
Domain (2012),1/13/2012,/movies/?id=domain2012.htm,"$3,100",1,-3,-4,True
Don't Go in the Woods,1/13/2012,/movies/?id=dontgointhewoods.htm,-1,-2,-3,-4,False
Newlyweds,1/13/2012,/movies/?id=newlyweds.htm,"$5,000",1,-3,-4,False
Dystopia 2013,1/13/2012,/movies/?id=dystopia2013.htm,"$1,100",1,-3,-4,False
Contraband,1/13/2012,/movies/?id=contraband.htm,"$26,471,200","2,863","$9,384,000","2,863",True
I (2015),1/13/2015,/movies/?id=i2015.htm,"$817,900",222,"$312,300",222,True
Dictator,1/13/2016,/movies/?id=dictator2016.htm,"$30,700",19,-3,-4,False
The Bye Bye Man,1/13/2017,/movies/?id=thebyebyeman.htm,-1,-2,-3,-4,False
The Comedian,1/13/2017,/movies/?id=thecomedian17.htm,-1,-2,-3,-4,False
Sleepless,1/13/2017,/movies/?id=sleepless.htm,-1,-2,-3,-4,False
The Book of Love,1/13/2017,/movies/?id=bookoflove2017.htm,-1,-2,-3,-4,False
Monster Trucks,1/13/2017,/movies/?id=monstertrucks.htm,-1,-2,-3,-4,False
Down for Life,1/14/2011,/movies/?id=downforlife.htm,"$25,400",5,"$8,600",5,True
Twelve Thirty,1/14/2011,/movies/?id=twelvethirty.htm,-1,-2,-3,-4,False
Every Day,1/14/2011,/movies/?id=everyday.htm,"$10,800",3,"$3,800",3,True
Ong Bak 3,1/14/2011,/movies/?id=ongbak3.htm,"$6,200",3,-3,-4,True
Yamla Pagla Deewana,1/14/2011,/movies/?id=yamlapagladeewana.htm,"$552,200",84,-3,-4,True
Plastic Planet,1/14/2011,/movies/?id=plasticplanet.htm,$800,1,-3,-4,True
A Somewhat Gentle Man,1/14/2011,/movies/?id=asomewhatgentleman.htm,"$2,700",1,-3,-4,True
The Green Hornet,1/14/2011,/movies/?id=greenhornet.htm,"$36,726,000","3,584","$12,155,200","3,584",True
The Dilemma,1/14/2011,/movies/?id=howardvaughnjames.htm,"$19,516,300","2,940","$6,763,400","2,940",True
The Heart Specialist,1/14/2011,/movies/?id=heartspecialist.htm,"$518,200",422,"$166,400",422,True
Battleship Potemkin (2011 re-issue),1/14/2011,/movies/?id=battleshippotemkin2011.htm,"$6,200",1,-3,-4,True
Barney's Version (U.S. only),1/14/2011,/movies/?id=barneysversion.htm,"$71,500",4,-3,-4,True
Match,1/14/2015,/movies/?id=match.htm,"$6,400(Estimate)",3,-3,-4,True
House (re-release),1/15/2010,/movies/?id=housererelease.htm,"$13,000",1,-3,-4,True
The Last Station,1/15/2010,/movies/?id=thelaststation.htm,"$79,800",3,-3,-4,True
The Book of Eli,1/15/2010,/movies/?id=bookofeli.htm,"$35,511,600","3,111","$12,642,000","3,111",True
Chance Pe Dance,1/15/2010,/movies/?id=chancepedance.htm,"$127,700",68,"$37,800",68,True
Fish Tank,1/15/2010,/movies/?id=fishtank.htm,"$28,000",2,-3,-4,True
The Spy Next Door,1/15/2010,/movies/?id=spynextdoor.htm,"$10,533,500","2,924","$2,610,900","2,924",True
44 Inch Chest,1/15/2010,/movies/?id=44inchchest.htm,"$4,500",1,"$2,100",1,True
Generation War,1/15/2014,/movies/?id=generationwar.htm,"$8,000",1,-3,-4,False
Band of Robbers,1/15/2016,/movies/?id=bandofrobbers.htm,"$14,900",11,-3,-4,False
13 Hours: The Secret Soldiers of Benghazi,1/15/2016,/movies/?id=13hoursthesecretsoldiersofbenghazi.htm,"$16,251,400","2,389","$5,915,200","2,389",True
A Perfect Day,1/15/2016,/movies/?id=aperfectday.htm,"$1,500",2,-3,-4,False
Moonwalkers,1/15/2016,/movies/?id=moonwalkers.htm,-1,-2,-3,-4,False
Norm of the North,1/15/2016,/movies/?id=normofthenorth.htm,"$6,868,100","2,411","$1,587,000","2,411",True
Detective Chinatown (Tang ren jie tan an),1/15/2016,/movies/?id=detectivechinatown.htm,"$281,300",33,-3,-4,False
The Benefactor,1/15/2016,/movies/?id=thebenefactor.htm,-1,-2,-3,-4,False
Remember You,1/15/2016,/movies/?id=rememberyou.htm,"$3,300",2,-3,-4,False
Ride Along 2,1/15/2016,/movies/?id=ridealong2.htm,"$35,366,300","3,175","$11,947,000","3,175",True
In the Shadow of Women,1/15/2016,/movies/?id=intheshadowofwomen.htm,"$10,500",2,-3,-4,False
Cherry Blossoms,1/16/2009,/movies/?id=cherryblossoms.htm,"$3,800",1,-3,-4,True
Ballerina,1/16/2009,/movies/?id=ballerina.htm,"$3,100",1,-3,-4,False
Hotel for Dogs,1/16/2009,/movies/?id=hotelfordogs.htm,"$19,634,700","3,271","$5,009,900","3,271",True
Chandni Chowk to China,1/16/2009,/movies/?id=chandnichowktochina.htm,"$727,000",130,"$217,300",130,True
Village Barbershop,1/16/2009,/movies/?id=villagebarbershop.htm,$100,1,-3,-4,True
Owl and the Sparrow,1/16/2009,/movies/?id=owlandthesparrow.htm,"$10,900",3,-3,-4,True
My Bloody Valentine 3-D,1/16/2009,/movies/?id=mybloodyvalentine09.htm,"$24,515,900","2,534","$9,497,400","2,534",True
Notorious (2009),1/16/2009,/movies/?id=notorious08.htm,"$23,657,400","1,638","$9,588,800","1,637",True
Paul Blart: Mall Cop,1/16/2009,/movies/?id=mallcop.htm,"$36,739,800","3,144","$11,300,800","3,144",True
Medeas,1/16/2015,/movies/?id=medeas.htm,"$3,200",1,-3,-4,False
Paddington,1/16/2015,/movies/?id=paddington.htm,"$20,111,200","3,303","$4,935,500","3,303",True
Blackhat,1/16/2015,/movies/?id=mann2015.htm,"$4,137,300","2,567","$1,468,600","2,567",True
Spare Parts,1/16/2015,/movies/?id=spareparts.htm,"$1,416,400",440,"$417,400",440,True
Still Alice,1/16/2015,/movies/?id=stillalice.htm,"$208,900(Estimate)",12,"$726,300",765,True
Still Life (2015),1/16/2015,/movies/?id=stilllife2015.htm,-1,-2,-3,-4,False
20 Once Again,1/16/2015,/movies/?id=20onceagain.htm,"$98,400",13,-3,-4,False
Appropriate Behavior,1/16/2015,/movies/?id=appropriatebehavior.htm,"$20,300",11,-3,-4,False
The Wedding Ringer,1/16/2015,/movies/?id=kevinhart15.htm,"$21,895,400","3,003","$7,410,900","3,003",True
Three Night Stand,1/16/2015,/movies/?id=threenightstand.htm,"$2,700",10,"$1,100",10,True
Little Accidents,1/16/2015,/movies/?id=littleaccidents.htm,"$9,200",17,-3,-4,True
Alone with Her,1/17/2007,/movies/?id=alonewithher.htm,"$7,000",1,-3,-4,False
American Mustang,1/17/2014,/movies/?id=americanmustang.htm,"$8,600",1,-3,-4,False
Big Bad Wolves,1/17/2014,/movies/?id=bigbadwolves.htm,"$6,900",6,-3,-4,True
Jack Ryan: Shadow Recruit,1/17/2014,/movies/?id=jackryan.htm,"$16,713,800","3,387","$5,787,100","3,387",True
Ride Along,1/17/2014,/movies/?id=ridealong.htm,"$44,906,300","2,663","$15,583,300","2,663",True
G.B.F.,1/17/2014,/movies/?id=gbf.htm,-1,-2,-3,-4,False
Stand Your Ground,1/17/2014,/movies/?id=standyourground.htm,-1,-2,-3,-4,False
Indigo Children,1/17/2014,/movies/?id=indigochildren.htm,"$2,000",1,"$1,800",1,False
Summer in February,1/17/2014,/movies/?id=summerinfebruary.htm,-1,-2,-3,-4,False
"Like Father, Like Son (2014)",1/17/2014,/movies/?id=fatherson.htm,"$17,400",2,-3,-4,True
Devil's Due,1/17/2014,/movies/?id=devilsdue.htm,"$8,986,700","2,544","$3,752,800","2,544",True
Will You Still Love Me Tomorrow,1/17/2014,/movies/?id=willyoustilllovemetomorrow.htm,"$3,200",3,-3,-4,False
Life of a King,1/17/2014,/movies/?id=lifeofaking.htm,"$4,600",16,-3,-4,True
The Nut Job,1/17/2014,/movies/?id=nutjob.htm,"$21,009,000","3,427","$5,199,500","3,427",True
27 Dresses,1/18/2008,/movies/?id=27dresses.htm,"$27,590,000","3,057","$9,320,900","3,057",True
Little Chenier,1/18/2008,/movies/?id=littlechenier.htm,"$44,800",17,-3,-4,True
Day Zero,1/18/2008,/movies/?id=dayzero.htm,"$14,500",2,-3,-4,True
Cassandra's Dream,1/18/2008,/movies/?id=cassandrasdream.htm,"$434,000",107,"$126,700",107,True
Blonde and Blonder,1/18/2008,/movies/?id=blondeandblonder.htm,"$31,700",14,-3,-4,True
Mad Money,1/18/2008,/movies/?id=madmoney.htm,"$9,277,300","2,470","$2,818,600","2,470",True
Cloverfield,1/18/2008,/movies/?id=cloverfield.htm,"$48,036,400","3,411","$20,583,100","3,411",True
Tristan und Isolde at La Scala,1/18/2008,/movies/?id=tristanundisoldeatlascala.htm,"$3,200",2,-3,-4,False
All Hat,1/18/2008,/movies/?id=allhat.htm,"$1,800",1,-3,-4,False
Beaufort,1/18/2008,/movies/?id=beaufort.htm,"$8,200",2,-3,-4,True
Taxi to the Dark Side,1/18/2008,/movies/?id=taxitothedarkside.htm,"$13,100",2,-3,-4,True
Still Life,1/18/2008,/movies/?id=stilllife.htm,"$15,300",1,-3,-4,True
Last Year at Marienbad (re-issue),1/18/2008,/movies/?id=lastyearatmarienbad08.htm,"$18,600",1,"$5,200",1,True
Summer Palace,1/18/2008,/movies/?id=summerpalace.htm,"$10,500",1,-3,-4,True
Teeth,1/18/2008,/movies/?id=teeth.htm,"$35,400",4,"$11,300",4,True
Crazy Horse,1/18/2012,/movies/?id=crazyhorse.htm,"$8,700",1,-3,-4,False
The City Dark,1/18/2012,/movies/?id=citydark.htm,"$3,200",1,"$2,000",1,False
Clandestine Childhood,1/18/2013,/movies/?id=clandestinechildhood.htm,"$8,800",2,-3,-4,False
Brief Reunion,1/18/2013,/movies/?id=briefreunion.htm,"$3,300",2,"$1,600",2,False
Storage 24,1/18/2013,/movies/?id=storage24.htm,$100,1,-3,-4,False
LUV,1/18/2013,/movies/?id=luv.htm,"$90,200",45,"$26,600",45,True
Hors Satan,1/18/2013,/movies/?id=horssatan.htm,-1,-2,-3,-4,False
Greenwich Village: Music That Defined a Generation,1/18/2013,/movies/?id=greenwichvillage.htm,"$6,000",1,-3,-4,False
The Last Stand,1/18/2013,/movies/?id=laststand.htm,"$6,811,500","2,913","$2,204,400","2,913",True
Broken City,1/18/2013,/movies/?id=brokencity.htm,"$8,966,700","2,620","$3,196,900","2,620",True
Officer Down,1/18/2013,/movies/?id=officerdown.htm,"$1,200",1,$700,1,True
Mama,1/18/2013,/movies/?id=mama.htm,"$30,799,000","2,647","$10,950,400","2,647",True
Anohana The Movie: The Flower We Saw That Day,1/18/2014,/movies/?id=anohana.htm,"$40,500",17,-3,-4,False
Untitled Universal Event Film (2019),1/18/2019,/movies/?id=universalevent2019.htm,-1,-2,-3,-4,False
Pigeon Impossible,1/18/2019,/movies/?id=pigeonimpossible.htm,-1,-2,-3,-4,False
PLAYMOBIL,1/18/2019,/movies/?id=playmobil.htm,-1,-2,-3,-4,False
Mafioso (re-issue),1/19/2007,/movies/?id=mafioso.htm,"$37,500",2,-3,-4,False
The Hitcher (2007),1/19/2007,/movies/?id=hitcher07.htm,"$9,784,200","2,831","$3,500,300","2,831",False
The Holy Mountain (re-issue),1/19/2007,/movies/?id=holymountain.htm,"$5,200",1,$200,1,True
Gypsy Caravan,1/19/2007,/movies/?id=gypsycaravan.htm,$500,1,-3,-4,False
The Italian,1/19/2007,/movies/?id=italian.htm,"$29,100",4,-3,-4,False
China Blue,1/19/2007,/movies/?id=chinablue.htm,"$4,700",2,-3,-4,False
The Woodmans,1/19/2011,/movies/?id=woodmans.htm,"$6,400",1,-3,-4,False
Patterns of Evidence: The Exodus,1/19/2015,/movies/?id=patternsofevidence.htm,"$810,400",652,"$810,400",652,True
The Killing of John Lennon,1/2/2008,/movies/?id=killingofjohnlennon.htm,"$3,700",1,-3,-4,False
2001: A Space Odyssey (2013 re-release),1/2/2013,/movies/?id=20012013.htm,-1,-2,-3,-4,False
The Search for General Tso,1/2/2015,/movies/?id=searchforgeneraltso.htm,"$9,900",2,-3,-4,False
The Woman in Black 2: Angel of Death,1/2/2015,/movies/?id=womaninblack2.htm,"$15,934,200","2,602","$8,213,500","2,602",False
REC 4: Apocalypse,1/2/2015,/movies/?id=rec4.htm,$800,5,-3,-4,False
Trace Amounts,1/2/2015,/movies/?id=traceamounts.htm,"$1,800",2,"$1,800",1,False
Li'l Quinquin,1/2/2015,/movies/?id=lilquinquin.htm,"$3,400",1,-3,-4,False
The Taking of Tiger Mountain,1/2/2015,/movies/?id=takingoftigermountain.htm,"$53,700",7,-3,-4,False
Coriolanus,1/20/2012,/movies/?id=coriolanus.htm,"$66,500",9,"$18,800",9,False
Buzzkill,1/20/2012,/movies/?id=buzzkill.htm,"$3,200",1,-3,-4,False
Red Tails,1/20/2012,/movies/?id=redtails.htm,"$20,418,500","2,512","$6,502,200","2,512",False
The Front Line,1/20/2012,/movies/?id=frontline.htm,"$7,800",6,-3,-4,False
Haywire,1/20/2012,/movies/?id=haywire.htm,"$9,159,400","2,439","$3,135,100","2,439",False
Watching TV With the Red Chinese,1/20/2012,/movies/?id=watchingtvwiththeredchinese.htm,-1,-2,-3,-4,False
Fullmetal Alchemist: The Sacred Star of Milos,1/20/2012,/movies/?id=fullmetalalchemist2012.htm,"$129,700",42,-3,-4,False
The Pruitt-Igoe Myth,1/20/2012,/movies/?id=pruittigoemyth.htm,"$5,100",1,-3,-4,False
Underworld Awakening,1/20/2012,/movies/?id=underworld4.htm,"$27,511,500","3,078","$10,152,700","3,078",False
Ultrasuede,1/20/2012,/movies/?id=ultrasuede.htm,"$4,300",1,-3,-4,False
The Viral Factor,1/20/2012,/movies/?id=viralfactor.htm,"$68,700",22,-3,-4,False
Carol Channing: Larger Than Life,1/20/2012,/movies/?id=carolchanning.htm,"$5,400",2,-3,-4,False
The Flowers of War,1/20/2012,/movies/?id=flowersofwar.htm,"$52,700",30,-3,-4,False
Bleak Street,1/20/2016,/movies/?id=bleakstreet.htm,-1,-2,-3,-4,False
xXx: The Return of Xander Cage,1/20/2017,/movies/?id=xxx3.htm,-1,-2,-3,-4,False
The Resurrection of Gavin Stone ,1/20/2017,/movies/?id=theresurrectionofgavinstone.htm,-1,-2,-3,-4,False
The Red Turtle,1/20/2017,/movies/?id=theredturtle.htm,-1,-2,-3,-4,False
Kedi,1/20/2017,/movies/?id=kedi.htm,-1,-2,-3,-4,False
Split,1/20/2017,/movies/?id=split2017.htm,-1,-2,-3,-4,False
The Founder,1/20/2017,/movies/?id=founder.htm,-1,-2,-3,-4,False
Detour,1/20/2017,/movies/?id=detour.htm,-1,-2,-3,-4,False
Of Time and the City,1/21/2009,/movies/?id=oftimeandthecity.htm,"$6,500",1,-3,-4,False
No Strings Attached,1/21/2011,/movies/?id=friendswithbenefits.htm,"$21,528,200","3,018","$7,985,200","3,018",False
The Company Men,1/21/2011,/movies/?id=companymen.htm,"$709,600",106,"$186,900",106,False
Dhobi Ghat (Mumbai Diaries),1/21/2011,/movies/?id=dhobighat.htm,"$400,200",78,"$137,200",78,False
The Housemaid,1/21/2011,/movies/?id=housemaid.htm,"$18,300",2,-3,-4,False
The Way Back,1/21/2011,/movies/?id=wayback.htm,"$1,335,200",678,"$426,700",678,False
Evangelion 2.0: You Can (Not) Advance,1/21/2011,/movies/?id=evangelion2.htm,"$92,200",15,-3,-4,False
Knights of Badassdom,1/21/2014,/movies/?id=knightsofbadassdom.htm,"$18,900",13,"$20,000",13,False
Extraordinary Measures,1/22/2010,/movies/?id=crowley.htm,"$6,511,800","2,549","$2,207,200","2,549",False
Tooth Fairy,1/22/2010,/movies/?id=toothfairy.htm,"$15,173,500","3,344","$3,838,800","3,344",False
Veer (2010),1/22/2010,/movies/?id=veer2010.htm,"$362,300",92,-3,-4,False
Drool,1/22/2010,/movies/?id=drool.htm,"$1,300",1,-3,-4,False
Creation,1/22/2010,/movies/?id=creation.htm,"$57,500",7,-3,-4,False
Watercolors,1/22/2010,/movies/?id=watercolors.htm,"$3,500",2,-3,-4,False
To Save a Life,1/22/2010,/movies/?id=tosavealife.htm,"$1,712,800",441,"$573,200",441,False
Murder in Fashion,1/22/2010,/movies/?id=murderinfashion.htm,"$1,100",2,-3,-4,False
The Paranoids,1/22/2010,/movies/?id=theparanoids.htm,-1,-2,-3,-4,False
Legion (2010),1/22/2010,/movies/?id=legion10.htm,"$18,954,600","2,476","$7,241,300","2,476",False
Misconceptions,1/22/2010,/movies/?id=misconceptions.htm,"$4,100",2,-3,-4,False
The Girl on the Train,1/22/2010,/movies/?id=girlonthetrain.htm,"$20,700",2,-3,-4,False
Jeruzalem,1/22/2016,/movies/?id=jeruzalem.htm,"$11,300",1,-3,-4,False
Mojave,1/22/2016,/movies/?id=mojave.htm,"$3,300",26,-3,-4,False
The Boy (2016),1/22/2016,/movies/?id=boy2016.htm,"$10,816,100","2,671","$3,828,700","2,671",False
Exposed (2015),1/22/2016,/movies/?id=exposed2015.htm,-1,-2,-3,-4,False
Monster Hunt,1/22/2016,/movies/?id=monsterhunt.htm,"$21,100",45,-3,-4,False
The 5th Wave,1/22/2016,/movies/?id=5thwave.htm,"$10,362,500","2,908","$3,501,200","2,908",False
Aferim!,1/22/2016,/movies/?id=aferim.htm,"$15,900",5,-3,-4,False
Synchronicity,1/22/2016,/movies/?id=synchronicity.htm,"$2,900",5,-3,-4,False
Dirty Grandpa,1/22/2016,/movies/?id=dirtygrandpa.htm,"$11,150,700","2,912","$4,311,500","2,912",False
Ip Man 3,1/22/2016,/movies/?id=ipman3.htm,"$787,600",103,"$269,200",103,False
Caged No More,1/22/2016,/movies/?id=cagednomore.htm,"$69,600",116,"$30,800",116,False
Monkey Up,1/22/2016,/movies/?id=monkeyup.htm,-1,-2,-3,-4,False
U2 3D,1/23/2008,/movies/?id=u23d.htm,"$1,156,400",61,"$281,800",61,True
Crips and Bloods: Made in America,1/23/2009,/movies/?id=cripsandbloods.htm,"$12,200",1,"$5,000",1,False
Killshot,1/23/2009,/movies/?id=killshot.htm,"$12,400",5,"$4,100",5,False
Inkheart,1/23/2009,/movies/?id=inkheart.htm,"$8,773,200","2,655","$2,427,700","2,655",False
Donkey Punch,1/23/2009,/movies/?id=donkeypunch.htm,"$5,500",2,-3,-4,False
Outlander,1/23/2009,/movies/?id=outlander.htm,"$68,800",81,"$19,500",81,False
Dog Eat Dog,1/23/2009,/movies/?id=dogeatdog.htm,$100,1,-3,-4,False
Underworld: Rise of the Lycans,1/23/2009,/movies/?id=underworld3.htm,"$24,039,300","2,942","$9,265,900","2,942",False
R100,1/23/2015,/movies/?id=r100.htm,"$7,700",10,-3,-4,False
The Boy Next Door,1/23/2015,/movies/?id=boynextdoor.htm,"$15,809,900","2,602","$6,070,500","2,602",False
Killers (2015),1/23/2015,/movies/?id=killers2015.htm,-1,-2,-3,-4,False
The Duke of Burgundy,1/23/2015,/movies/?id=dukeofburgundy.htm,"$12,600",3,-3,-4,False
Miss Hill: Making Dance Matter,1/23/2015,/movies/?id=misshill.htm,"$2,700",1,-3,-4,False
Red Army,1/23/2015,/movies/?id=redarmy.htm,"$21,300(Estimate)",3,-3,-4,False
Love Forecast,1/23/2015,/movies/?id=loveforecast.htm,"$12,300",1,-3,-4,False
Strange Magic,1/23/2015,/movies/?id=strangemagic.htm,"$5,836,600","3,020","$1,383,800","3,020",False
Americons,1/23/2015,/movies/?id=americons.htm,"$15,300",14,"$6,600",14,False
Against the Sun,1/23/2015,/movies/?id=againstthesun.htm,"$3,200",11,-3,-4,False
Salvation Army,1/23/2015,/movies/?id=salvationarmy.htm,"$2,600",1,-3,-4,False
Mortdecai,1/23/2015,/movies/?id=mortdecai.htm,"$4,454,100","2,648","$1,578,700","2,648",False
Song One,1/23/2015,/movies/?id=songone.htm,"$21,400",27,"$9,300",27,False
Big Muddy,1/23/2015,/movies/?id=bigmuddy.htm,$200,2,-3,-4,False
Cake,1/23/2015,/movies/?id=cake.htm,"$971,500",482,"$282,400",482,False
Black Sea,1/23/2015,/movies/?id=blacksea.htm,"$39,900",5,"$12,700",5,False
Aatsinki: The Story of Arctic Cowboys,1/24/2014,/movies/?id=aatsinki.htm,"$3,100",1,"$1,000",1,False
Jai Ho,1/24/2014,/movies/?id=jaiho.htm,"$909,100",195,-3,-4,False
Gimme Shelter,1/24/2014,/movies/?id=gimmeshelter.htm,"$745,300",385,"$247,700",385,False
Stranger By the Lake,1/24/2014,/movies/?id=strangerbythelake.htm,"$29,900",2,-3,-4,False
"I, Frankenstein",1/24/2014,/movies/?id=ifrankenstein.htm,"$9,313,600","2,753","$3,101,100","2,753",False
Papirosen,1/24/2014,/movies/?id=papirosen.htm,"$1,400",1,-3,-4,False
Mercedes Sosa: The Voice of Latin America,1/24/2014,/movies/?id=mercedessosa.htm,"$1,500",1,-3,-4,False
Run and Jump,1/24/2014,/movies/?id=runandjump.htm,"$4,300",2,-3,-4,False
Gloria (2014),1/24/2014,/movies/?id=gloria14.htm,"$61,100",3,"$15,200",3,False
Visitors (2014),1/24/2014,/movies/?id=visitors2014.htm,"$9,800",1,-3,-4,False
Salaam-E-Ishq,1/25/2007,/movies/?id=salaameishq.htm,"$1,187,600",86,-3,-4,False
How She Move,1/25/2008,/movies/?id=howshemove.htm,"$4,745,700","1,531","$1,492,000","1,531",False
Rambo,1/25/2008,/movies/?id=rambo08.htm,"$21,829,400","2,751","$8,025,600","2,751",False
Meet the Spartans,1/25/2008,/movies/?id=meetthespartans.htm,"$22,191,200","2,605","$8,247,100","2,605",False
"4 Months, 3 Weeks, 2 Days",1/25/2008,/movies/?id=4months3weeks2days.htm,"$62,000",2,-3,-4,False
The Air I Breathe,1/25/2008,/movies/?id=airibreathe.htm,"$23,400",7,-3,-4,False
Alice's House (A Casa de Alice),1/25/2008,/movies/?id=aliceshouse.htm,"$22,900",6,-3,-4,False
Lost in Beijing,1/25/2008,/movies/?id=lostinbeijing.htm,"$5,200",1,-3,-4,False
Christmas in Wonderland,1/25/2008,/movies/?id=christmasinwonderland.htm,$800,2,$100,2,False
Untraceable,1/25/2008,/movies/?id=untraceable.htm,"$13,615,400","2,368","$4,460,000","2,368",False
Shoot Down,1/25/2008,/movies/?id=shootdown.htm,"$59,000",21,"$18,600",21,False
Open Season 3,1/25/2011,/movies/?id=openseason3.htm,-1,-2,-3,-4,False
"How Much Does Your Building Weigh, Mr. Foster?",1/25/2012,/movies/?id=mrfoster.htm,"$3,000",1,-3,-4,False
